source_type,source_email,document_id,path,tags,cf_doc_uid
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DQzhxbXNzOHBRZ0k,/Il mio Drive/Università Drive/Economia/22 - es 2.pdf,"gioia, momo, tag",3c120415-c576-4f2d-864c-04beba2683dd
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144Dc1ItZ3Y4OEQ3U00,/Il mio Drive/Università Drive/Economia/Esercizio 2.pdf,sanremo,597366ae-28a7-4d6b-9999-0b324a7065d7
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DTGEzTS1QMHdqQlU,/Il mio Drive/Università Drive/Economia/11 - circuiti e cicli della gestione.pdf,,5f3eaef6-de05-422e-a5dd-72d8a45064dc
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DOWtRblRwZmExUXM,/Il mio Drive/Università Drive/Economia/14a - schema_sp.pdf,,74f89011-1773-4784-9655-5846b7f3d2d2
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DclF2RTloUGR1UHc,/Il mio Drive/Università Drive/Economia/23 - le scritture di assestamento.pdf,,a68c7f0a-c752-400a-8a11-e843211793ce
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DUjN5ejRnZW1QbGc,/Il mio Drive/Università Drive/Economia/15a - schema_ce.pdf,,123bbb3f-7cd2-4dba-9699-6329e59d4e12
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DWDN5b240OFJYeXpsbjhMU3hMRC1sUUFPQjN3,/Il mio Drive/Università Drive/Economia/3 - ABC cap 3_3 mar 15.pdf,,2586427b-0e22-430a-8fa0-06384b9e4e12
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144Dd0R1TElBUy1ucEE,/Il mio Drive/Università Drive/Economia/14 - composizione stato patrimoniale.pdf,,3443ea31-3f60-4f6a-bef7-27dcf280e3ca
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DQ21yMTZFbWozWU0,/Il mio Drive/Università Drive/Economia/es analisi sensibilità.pdf,,359ef893-e0ae-4d66-aecd-5f43d577de0d
googledrive,giacomomoscardini@gmail.com,1L9gZU1r5u2t5kVl7W7hZ_qwP5h0OcF8B,/San Gimignano+Siena/DSC_0272.JPG,"gioia, momo, tag",7d60230f-3daf-41c6-aafd-12b713f471c0
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DaEd5MkNjZnVVZEk,/Il mio Drive/Università Drive/Analisi/SCANSIONI.rar,,4ca9bb9a-997b-4ae1-a086-8fcb4895983b
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DYjdCZ0k5ZG9QSGs,/Il mio Drive/Università Drive/Economia/es coeff unitario.pdf,,98cc3fa5-d61a-4295-8efb-5b3dc0100667
googledrive,giacomomoscardini@gmail.com,0B-FZcJH5IP7FUnNKcWx5ZnZHZjg,/P1000483.JPG,non so,62265feb-6638-4a08-a175-342eef131092
googledrive,giacomomoscardini@gmail.com,13VYHvuTGBOx70ftQM2DWXPHD4Z7JoWmuMa0sls8JtjE,/Ingegneria del Software 16-17,,707a938c-a8f8-4a3d-a65e-0ee4786cdcdf
googledrive,giacomomoscardini@gmail.com,0BwA6S0_2MudhaFNRQWlxeFZkTTQ,/Apkmodded is now ApkModPro.jpg,"gioia, momo, tag",7b86cf21-2b0f-4b6a-a6f4-1e367faf0490
googledrive,giacomomoscardini@gmail.com,1vdy3vsj5CesB7DFW6SKlmwkr-cLmA0KG,/@Science telegram-channel,,8406b0fb-45b5-44be-9add-0a077e6bc52b
googledrive,giacomomoscardini@gmail.com,1QSKXIsUeNQrT8Xm7yNgAoiIAWY0z8ezM,/San Gimignano+Siena,,86f8477f-56f0-44ab-a78d-fb494f941d1e
googledrive,giacomomoscardini@gmail.com,0B9hFUmTXF_i6RHZCZm9LRmNjOXc,/PepMp3Downloader_v1.1.03.apk,,9d4191da-754f-41bb-a928-0958fd53efea
googledrive,giacomomoscardini@gmail.com,0B8IyPYyov9cqMmMxaS12bHVLRDA,/Adreno.zip,,b58727a6-4eac-4cbd-a776-834e78d37c6e
googledrive,giacomomoscardini@gmail.com,0AAz1vEaJ144DUk9PVA,/Il mio Drive,,f1c3db54-6629-4553-aee6-12c197650345
googledrive,giacomomoscardini@gmail.com,0ByeZ3h3mdMpSVW5LUWxXZmtwZ3M,/M8/Beanstalk Nougat ,,070ec3ac-382c-4d27-bf6b-1b2d233ccac8
googledrive,giacomomoscardini@gmail.com,1VaNgjHBoO-b8vU9CW9GdWTdLR_AUqndo,/San Gimignano+Siena/DSC_0386.JPG,,8d83173e-1c78-4aa1-a8e8-a2f278ef03c6
googledrive,giacomomoscardini@gmail.com,1Bksv12vCcl94a7BcKOzVMaq5DjxARDbr,/San Gimignano+Siena/DSC_0273.JPG,,c1fc6aed-083f-4479-bea0-bf4a75813b31
googledrive,giacomomoscardini@gmail.com,1LnhS_0zrSEr2gPVEITkvW0MT1gX8P1So,/San Gimignano+Siena/DSC_0275.JPG,,d8168d55-e6b0-4f3b-afe5-a6c77edee35c
googledrive,giacomomoscardini@gmail.com,1x1ze3eHFicw2cfqqEHBZjD6zf2i0ievs,/San Gimignano+Siena/DSC_0377.JPG,,17917515-d00f-42f8-ab6c-794e93844496
googledrive,giacomomoscardini@gmail.com,1mlfcpd-CCclSpCEEfwpwuRSNBsgVSOYJ,/Il mio Drive/Enpass/sync_default.walletx,,17b80199-4b80-4e6c-85c6-bff0e728cf73
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DV2V6djFaSnplSlZyU3V2TUZteXJ0dWZzdTE4,/Il mio Drive/Diseducatore/Settimana Comunitaria I-II Superiore.docx,,40c8a7fe-2039-4d32-9b83-95b3e9273a3f
googledrive,giacomomoscardini@gmail.com,1lKJettfXRSkUFLhhlnVSEV_e_KQR56Re,/San Gimignano+Siena/DSC_0299.JPG,,47e813d2-22b9-4a26-9c11-003aca8e251d
googledrive,giacomomoscardini@gmail.com,1qpqYZfc72Lbw14tyHOu3AwheOCnK9nEW,/San Gimignano+Siena/DSC_0396.JPG,,a45871a1-163d-4fe5-9397-2356f3147648
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DTlFFV0FXMWFtaFk,/Il mio Drive/Università Drive/Economia/21 - es 1 soluzioni.pdf,,6ed0f011-cf73-4fa1-8b8f-4688a381f954
googledrive,giacomomoscardini@gmail.com,1KZAYsAB4rUByowF7rqMgK626cuyNQslh,/San Gimignano+Siena/DSC_0380.JPG,,83e0b5eb-bcd5-48d1-90b4-c5f4e120506b
googledrive,giacomomoscardini@gmail.com,0Bwz1vEaJ144DOEZBRk95MmZNcWc,/Il mio Drive/Università Drive/Economia/25 - Soluzioni es 4.pdf,,86ef3c1d-71ce-47a8-b669-c6da7927efcd
googledrive,giacomomoscardini@gmail.com,1lhagJ_biGSAvsABB1tkYcAB4GKSS4eXV,/Il mio Drive/Enpass,,ccde3831-da56-492a-bfba-4bdc56b1bba7
googledrive,giacomomoscardini@gmail.com,0B6kQ8Li09nJDMmNFbVVQWWlNRGM,/Reicast/reicast-20140318_682.apk,,f2e050db-da90-4bc4-97b2-7fe9dc279c7c
googledrive,giacomomoscardini@gmail.com,1roCN5rfM-YIsy7l2_QC6GL1TWQWNYgA8,/Il mio Drive/pokemon,,f53b2c65-7ecb-4afd-af13-a0401e317ee7
googledrive,giacomomoscardini@gmail.com,0B6kQ8Li09nJDNnh0WVgyek56Qzg,/Reicast/reicast-20140426_710.apk,,1079168c-ea93-43e8-b99d-6f84c3ab97bb
googledrive,giacomomoscardini@gmail.com,1D73RmBuSGClWkEVlLoKmFOXFj5sbWoW3,/San Gimignano+Siena/DSC_0332.JPG,,8de0ca50-6deb-4ee3-87ba-1e29ff7ee937
googledrive,giacomomoscardini@gmail.com,1UZVLx4rewyv6CObm2b2s9TVH0Ioa4lJI,/San Gimignano+Siena/DSC_0266.JPG,,9fdc959a-6156-4563-b3b2-f287f51e56e0
googledrive,giacomomoscardini@gmail.com,1SDrrbqnhhy5ETvK71UHayTHd-H4DX6Yu,/San Gimignano+Siena/DSC_0353.JPG,,54847b93-7c35-4984-9ef2-b23250656afe
googledrive,giacomomoscardini@gmail.com,1k6X_ZECXrGUMrd0aJo3MXPeKaH3gebc-,/San Gimignano+Siena/DSC_0382.JPG,,738d6379-2313-4233-9104-5eae4dc780af
googledrive,giacomomoscardini@gmail.com,0B6kQ8Li09nJDUVVDMEFYQkk4UEU,/Reicast/reicast-20140509_732.apk,,7658f80a-1f06-42c3-9a4b-c8a0a917fc43
googledrive,giacomomoscardini@gmail.com,1IVxk0ou79-d-JZhooerq9kB0vUvieWVw,/San Gimignano+Siena/DSC_0269.JPG,,a18cd84d-6c34-41d4-9764-1acdac1bb412
